nft_collection_name,nft_type,verified,tradeport_url
Panzerdogs Equipment V2,0x524ac2292d0862f294f1c4973b7d83b008e40e22c333156bc9747626053293f6::equipment::Equipment,True,https://www.tradeport.xyz/sui/collection/0x524ac2292d0862f294f1c4973b7d83b008e40e22c333156bc9747626053293f6::equipment::Equipment
DeSuiLabs,0x4edaf43ada89b42ba4dee9fbf74a4dee3eb01f3cfd311d4fb2c6946f87952e51,True,https://www.tradeport.xyz/sui/collection/0x4edaf43ada89b42ba4dee9fbf74a4dee3eb01f3cfd311d4fb2c6946f87952e51
Sui Generis HC,0x1f015c1a000631f2c0afd0258b299c63ffb8e5452e0c0f9be8fc28d2e20ad9b4,True,https://www.tradeport.xyz/sui/collection/0x1f015c1a000631f2c0afd0258b299c63ffb8e5452e0c0f9be8fc28d2e20ad9b4
Anima Labs Whitelist Ticket,0x75cab45b9cba2d0b06a91d1f5fa51a4569da07374cf42c1bd2802846a61efe33::genesis_drop::GenesisPass,True,https://www.tradeport.xyz/sui/collection/0x75cab45b9cba2d0b06a91d1f5fa51a4569da07374cf42c1bd2802846a61efe33::genesis_drop::GenesisPass
TradePort Keys,0xc2759304c3c021c5038bf72ff61772146b5136b89d6a85d6476bb6a17df1ac82,True,https://www.tradeport.xyz/sui/collection/0xc2759304c3c021c5038bf72ff61772146b5136b89d6a85d6476bb6a17df1ac82
Tusktardio,0x619587f0950015e4de2a0795fd86e323504e514b674f3b167c9ffc4133a0d770,True,https://www.tradeport.xyz/sui/collection/0x619587f0950015e4de2a0795fd86e323504e514b674f3b167c9ffc4133a0d770
Tracks>,0x41c06da395bc3f0ee621a66082f8f30f376da41a2db7bcce7c087444de200e41::panzertanks_parts,True,https://www.tradeport.xyz/sui/collection/0x41c06da395bc3f0ee621a66082f8f30f376da41a2db7bcce7c087444de200e41::panzertanks_parts
Pebble City Luck Accessory,0x8a711e344fdfcfacd9d4f34683e75dd653d44dab9f2a4744196e6df3291141a,True,https://www.tradeport.xyz/sui/collection/0x8a711e344fdfcfacd9d4f34683e75dd653d44dab9f2a4744196e6df3291141a
SUICIDE SYMBIOTE,0x4a9ea92b9243918dbfd52fb51ef10e8dc4b8aeebfce66c688022c9ca3c53f584,True,https://www.tradeport.xyz/sui/collection/0x4a9ea92b9243918dbfd52fb51ef10e8dc4b8aeebfce66c688022c9ca3c53f584
Karrier Pigeons,0x6f254f230a24cb74433f0bd0a2da53e2e3fe4ef85a6f89095d987ce7da257e25,True,https://www.tradeport.xyz/sui/collection/0x6f254f230a24cb74433f0bd0a2da53e2e3fe4ef85a6f89095d987ce7da257e25
